| 729 | IAS_BANK | IAS_BANK_ACCOUNT | n:1 | IB_IBA | IBA_CODE | IABA_IABAAC_FK | النقدية والبنوك | ربط ias bank بـias bank account | ✅ موجودة (Bank و BankAccount) |
| 730 | ACCOUNT_TYPES | MASTER_JOURNAL | n:1 | AT_MJ | MJ_CODE | ACTY_MAJO_FK | الحسابات والدفتر العام | ربط account types بـmaster journal | ✅ موجودة (AccountType و MasterJournal) |
| 731 | IAS_AP_CNTRCT_DTL | IAS_AP_CNTRCT | n:1 | IAS_IAC | IAC_CODE | IAAPCNDT_IAAPCN_FK | المشاريع والعقود | ربط تفاصيل ias ap cntrct dtl بـias ap cntrct | ✅ موجودة (APContractDetail و APContract) |
| 732 | IAS_GRP | IAS_USR | n:1 | IG_IU | IU_CODE | IAGR_IAUS_FK | النظام والأمن | ربط ias grp بـias usr | ✅ موجودة (UserGroup و User) |
| 733 | IAS_GUARN_STATUS | IAS_USR | n:1 | IGS_IU | IU_CODE | IAGUST_IAUS_FK | الضمانات والكفالات | ربط ias guarn status بـias usr | ✅ موجودة (GuaranteeStatus و User) |
| 734 | S_EMP | S_DEPT | n:1 | SE_SD | SD_CODE | SEM_SDE_FK | الموارد البشرية | ربط الموظف بالقسم | ✅ موجودة (Employee و Department) |
| 735 | HRS_SAL | S_JOB | n:1 | HS_SJ | SJ_CODE | HRSA_SJO_FK | الموارد البشرية | ربط hrs sal بـs job | ✅ موجودة (Salary و Job) |
| 736 | IAS_VNDR_CLSS | P_ORDER | n:1 | IVC_PO | PO_CODE | IAVNCL_POR_FK | المشتريات والموردين | ربط ias vndr clss بـp order | ✅ موجودة (VendorClass و PurchaseOrder) |
| 737 | HRS_EMP_VAC | S_EMP | n:1 | HEV_EMP | EMP_CODE | HREMVA_SEM_FK | الموارد البشرية | ربط hrs emp vac بـs emp | ✅ موجودة (EmployeeVacation و Employee) |
| 738 | HRS_VAC_TYP | IAS_ACTVTY | n:1 | HVT_ACTVTY | ACTVTY_CODE | HRVATY_IAAC_FK | الموارد البشرية | ربط hrs vac typ بـias actvty | ❌ غير موجودة (لا توجد علاقة بين VacationType و Activity) |
| 739 | IAS_GUARN_TYPE | GUARN_DETAILS | n:1 | IGT_GD | GD_CODE | IAGUTY_GUDE_FK | الضمانات والكفالات | ربط ias guarn type بـguarn details | ✅ موجودة (GuaranteeType و GuaranteeDetail) |
| 740 | IAS_AP_CNTRCT | IAS_PROJECT_BUDGET | n:1 | IAC_IPB | IPB_CODE | IAAPCN_IAPRBU_FK | المشاريع والعقود | ربط ias ap cntrct بـias project budget | ✅ موجودة (APContract و ProjectBudget) |
| 741 | IAS_CASH_INCOME | BANK_CHEQUE | n:1 | ICI_BC | BC_CODE | IACAIN_BACH_FK | النقدية والبنوك | ربط ias cash income بـbank cheque | ✅ موجودة (CashIncome و BankCheque) |
| 742 | ACCOUNT | ACCOUNT_CURR | n:1 | A_AC | AC_CODE | AC_ACCU_FK | الحسابات والدفتر العام | ربط account بـaccount curr | ✅ موجودة (Account و AccountCurrency) |
| 743 | MEASUREMENT | IAS_ITM_GRP | n:1 | M_IIG | IIG_CODE | ME_IAITGR_FK | المخزون والمستودعات | ربط measurement بـias itm grp | ✅ موجودة (Measurement و ItemGroup) |
| 744 | IAS_BANK | IAS_BANK_ACCOUNT | n:1 | IB_IBA | IBA_CODE | IABA_IABAAC_FK | النقدية والبنوك | ربط ias bank بـias bank account | ✅ موجودة (Bank و BankAccount) |
| 745 | IAS_BANK | IAS_BANK_ACCOUNT | 1:1 | IB_IBA | IBA_CODE | IABA_IABAAC_FK | النقدية والبنوك | ربط ias bank بـias bank account | ✅ موجودة (Bank و BankAccount - علاقة 1:1) |
| 746 | IAS_PROJECT | IAS_PROJECT_PHASE | n:1 | IP_IPP | IPP_CODE | IAPR_IAPRPH_FK | المشاريع والعقود | ربط ias project بـias project phase | ✅ موجودة (Project و ProjectPhase) |
| 747 | IAS_CASH | ITEM_CARD | n:1 | IC_ITM | ITM_CODE | IACA_ITCA_FK | النقدية والبنوك | ربط ias cash بـitem card | ❌ غير موجودة (لا توجد علاقة بين Cash و Item) |
| 748 | IAS_BILL_DTL | IAS_CST_TYP | 1:n | IAS_ICT | ICT_CODE | IABIDT_IACSTY_FK | المبيعات والعملاء | ربط تفاصيل ias bill dtl بـias cst typ | ✅ موجودة (BillDetail و CustomerType) |
| 749 | HRS_ATT | S_JOB | n:1 | HA_SJ | SJ_CODE | HRAT_SJO_FK | الموارد البشرية | ربط hrs att بـs job | ✅ موجودة (Attendance و Job) |
| 750 | IAS_GUARN_TYPE | COST_CENTERS | n:1 | IGT_CC | CC_CODE | IAGUTY_COCE_FK | الضمانات والكفالات | ربط ias guarn type بـcost centers | ✅ موجودة (GuaranteeType و CostCenter) | 
